component_id,component_type,equipment_age_years,ambient_temperature,humidity,temperature,vibration,voltage,current,pressure,rpm,duty_cycle,running_hours,machine_load,maintenance_history,failures
C00001,Horn,3,37.4,52,88.8,0.85,240.4,10.9,87.6,3350,80,3517,66,0,0
C00002,Motor,4.1,22.1,81,78.5,0.1,236.8,11.4,110.5,2525,72,3928,61,4,0
C00003,Pump,8.5,37.4,56,60.6,0.52,236.3,6.1,63,1996,100,2799,62,8,0
C00004,Pump,5.4,30.4,67,63.5,0.91,234.3,12.3,135.3,3127,65,3123,83,6,0
C00005,Motor,4.8,33.5,56,85.2,0.58,235.3,7.5,154.6,1447,63,3390,74,4,0
C00006,Motor,7.3,32.9,46,68.9,0.71,239.1,7.6,118.8,3050,75,4730,75,10,0
C00007,Pump,6.5,22,74,80.7,0.63,238.3,11.7,127.3,2533,91,3422,36,4,0
C00008,Horn,7.6,28.7,57,88.5,0.86,233.5,14,144.6,3428,84,3702,89,1,1
C00009,Motor,1,32.4,69,64.3,1.01,232.8,7.5,113.8,2088,64,2362,78,9,0
C00010,Horn,7.5,31.1,36,76.1,0.29,243.5,9.5,54.6,2292,66,2673,68,8,0
C00011,Pump,8.8,32.3,43,69.4,0.64,231.3,7.9,97.8,2405,83,2217,80,0,0
C00012,Motor,1.3,25.9,47,66.9,0.57,217.3,12.4,106.5,2580,91,3919,81,2,0
C00013,Motor,1.8,40,66,69.9,0.17,231.4,15.7,86.7,2228,68,3120,64,10,1
C00014,Motor,6.3,31.9,79,72,0.26,226.6,7.9,120.4,3449,68,2264,81,7,0
C00015,Pump,8.2,25.8,46,58.6,0.82,235.7,7.6,101,3630,82,1684,83,4,0
C00016,Horn,9.5,23,59,75.5,0.48,239.5,10.5,77,2524,88,3434,55,5,0
C00017,Horn,9.5,31.1,71,78.6,0.45,236.3,9.5,131.2,2591,73,1240,100,2,1
C00018,Pump,9,26.4,90,81.4,0.81,233.7,13.4,91.8,3236,68,2763,70,6,1
C00019,Horn,8.8,27.7,61,70.1,0.6,242.4,10.4,109.6,2875,84,4293,62,7,0
